id,cleared,debit,credit,account_id,budget_goal_id,transaction_id,created_at,updated_at,date,account_reconciliation_id,account_reconciliations_id,account_balance_id
5771,t,3000.0,,619,,1,"2018-04-12 00:17:52.922827","2018-05-06 23:09:19.673791",2018-01-01,41,,1059
5772,t,,3000.0,618,,1,"2018-04-12 00:17:52.938524","2018-04-17 15:25:37.978522",2018-01-01,23,,927
5773,t,,120000.0,619,,2,"2018-04-12 00:17:52.983276","2018-05-06 23:09:12.967448",2018-01-01,41,,1059
5774,t,120000.0,,618,,2,"2018-04-12 00:17:53.001960","2018-04-17 15:25:39.020946",2018-01-01,23,,927
5775,t,3000.0,,620,,3,"2018-04-12 00:17:53.041276","2018-05-06 23:10:09.673722",2018-01-01,42,,1191
5776,t,,3000.0,618,,3,"2018-04-12 00:17:53.060592","2018-04-17 15:25:36.717877",2018-01-01,23,,927
5777,t,45500.43,,618,,328,"2018-04-12 00:17:53.108877","2018-05-08 18:37:57.325389",2018-01-01,23,,927
5779,t,112.0,,615,,328,"2018-04-12 00:17:53.163869","2018-05-08 18:37:57.364847",2018-01-01,21,,530
5781,t,4.25,,611,,6,"2018-04-12 00:17:53.220424","2018-04-12 00:17:53.220424",2018-01-01,6,,2
5782,t,,4.25,612,,6,"2018-04-12 00:17:53.239971","2018-04-18 01:39:58.335762",2018-01-01,10,,134
5786,t,,2213.33,626,,328,"2018-04-12 00:17:53.348518","2018-05-08 18:37:57.408637",2018-01-01,30,,1976
5788,t,,132012.55,630,,328,"2018-04-12 00:17:53.404411","2018-05-08 18:37:57.442707",2018-01-01,18,,2287
5789,t,5907.89,,614,,328,"2018-04-12 00:17:53.441728","2018-05-08 18:37:57.458448",2018-01-01,20,,398
5791,f,302.53,,645,,11,"2018-04-12 00:17:53.494856","2018-05-11 11:11:44.329973",2018-01-01,,,4079
5792,t,,302.53,630,,11,"2018-04-12 00:17:53.511008","2018-04-18 01:45:32.844741",2018-01-01,18,,2287
5793,t,1004.25,,612,,328,"2018-04-12 00:17:53.548029","2018-05-08 18:37:57.491353",2018-01-01,10,,134
5795,t,1004.25,,613,,328,"2018-04-12 00:17:53.611942","2018-05-08 18:37:57.521377",2018-01-01,14,,266
5797,t,4.25,,611,,14,"2018-04-12 00:17:53.663521","2018-04-14 18:51:49.214851",2018-01-01,6,,2
5798,t,,4.25,613,,14,"2018-04-12 00:17:53.678594","2018-04-18 01:43:07.531243",2018-01-01,14,,266
5799,t,960.25,,630,,15,"2018-04-12 00:17:53.715173","2018-04-18 01:45:31.619521",2018-01-01,18,,2287
5800,t,,960.25,611,,15,"2018-04-12 00:17:53.729646","2018-04-14 18:52:25.350104",2018-01-01,6,,2
5801,t,7087.53,,611,,328,"2018-04-12 00:17:53.772598","2018-05-08 18:37:57.552363",2018-01-01,6,,2
5803,f,17.99,,637,,17,"2018-04-12 00:17:53.833411","2018-04-12 00:17:53.833411",2018-01-02,,,3198
5804,t,,17.99,626,,17,"2018-04-12 00:17:53.851011","2018-05-05 18:40:16.763435",2018-01-02,31,,1977
5805,f,47.36,,634,,18,"2018-04-12 00:17:53.886803","2018-04-12 00:17:53.886803",2018-01-02,,,2809
5806,t,,47.36,626,,18,"2018-04-12 00:17:53.902953","2018-05-05 18:40:27.967625",2018-01-02,31,,1977
5807,f,11.37,,634,,19,"2018-04-12 00:17:53.939160","2018-04-12 00:17:53.939160",2018-01-02,,,2809
5808,t,,11.37,626,,19,"2018-04-12 00:17:53.954647","2018-05-05 18:40:11.733228",2018-01-02,31,,1977
5809,f,25.05,,634,,20,"2018-04-12 00:17:53.991028","2018-04-12 00:17:53.991028",2018-01-02,,,2809
5810,t,,25.05,626,,20,"2018-04-12 00:17:54.007869","2018-05-05 18:40:21.880128",2018-01-02,31,,1977
5811,f,44.99,,632,,21,"2018-04-12 00:17:54.044659","2018-04-12 00:17:54.044659",2018-01-02,,,2419
5812,t,,44.99,626,,21,"2018-04-12 00:17:54.061528","2018-05-05 18:16:50.551959",2018-01-02,30,,1977
5813,f,7.99,,637,,22,"2018-04-12 00:17:54.100579","2018-04-12 00:17:54.100579",2018-01-03,,,3199
5814,t,,7.99,626,,22,"2018-04-12 00:17:54.118442","2018-05-05 18:40:33.505515",2018-01-03,31,,1978
5815,f,10.15,,634,,23,"2018-04-12 00:17:54.157506","2018-04-12 00:17:54.157506",2018-01-03,,,2810
5816,t,,10.15,626,,23,"2018-04-12 00:17:54.175054","2018-05-05 18:40:38.497035",2018-01-03,31,,1978
5817,t,1272.24,,611,,24,"2018-04-12 00:17:54.211837","2018-04-14 18:59:07.861258",2018-01-03,6,,4
5818,f,,2720.65,641,,24,"2018-04-12 00:17:54.225707","2018-05-07 01:18:32.710112",2018-01-03,,,3559
5819,t,5.0,,615,,25,"2018-04-12 00:17:54.265011","2018-04-18 03:52:48.908722",2018-01-04,21,,533
5820,f,,5.0,641,,25,"2018-04-12 00:17:54.281458","2018-04-12 00:17:54.281458",2018-01-04,,,3560
5821,f,18.18,,634,,26,"2018-04-12 00:17:54.318179","2018-04-12 00:17:54.318179",2018-01-05,,,2812
5822,t,,18.18,626,,26,"2018-04-12 00:17:54.331384","2018-05-05 18:40:43.551106",2018-01-05,31,,1980
5823,f,33.95,,636,,27,"2018-04-12 00:17:54.367027","2018-04-12 00:17:54.367027",2018-01-05,,,3070
5824,t,,33.95,626,,27,"2018-04-12 00:17:54.380436","2018-05-05 18:40:49.008303",2018-01-05,31,,1980
5825,t,350.0,,612,,28,"2018-04-12 00:17:54.414940","2018-04-18 01:39:59.396775",2018-01-05,10,,138
5826,t,,350.0,644,,28,"2018-04-12 00:17:54.433183","2018-04-18 04:10:56.081784",2018-01-05,24,,3951
5827,t,630.97,,611,,29,"2018-04-12 00:17:54.468033","2018-04-14 18:59:19.510391",2018-01-05,6,,6
5828,f,,2500.0,641,,29,"2018-04-12 00:17:54.482046","2018-05-07 01:18:34.385992",2018-01-05,,,3561
5829,f,9.83,,639,,30,"2018-04-12 00:17:54.519331","2018-04-12 00:17:54.519331",2018-01-06,,,3432
5830,t,,9.83,626,,30,"2018-04-12 00:17:54.532443","2018-05-05 18:41:08.107433",2018-01-06,31,,1981
5831,f,63.74,,637,,31,"2018-04-12 00:17:54.578516","2018-04-12 00:17:54.578516",2018-01-06,,,3202
5832,t,,63.74,626,,31,"2018-04-12 00:17:54.596474","2018-05-05 18:41:32.537133",2018-01-06,31,,1981
5833,f,11.74,,634,,32,"2018-04-12 00:17:54.631015","2018-04-12 00:17:54.631015",2018-01-06,,,2813
5834,t,,11.74,626,,32,"2018-04-12 00:17:54.645687","2018-05-05 18:41:12.807400",2018-01-06,31,,1981
5835,f,5.53,,634,,33,"2018-04-12 00:17:54.681009","2018-04-12 00:17:54.681009",2018-01-06,,,2813
5836,t,,5.53,626,,33,"2018-04-12 00:17:54.696395","2018-05-05 18:41:01.255846",2018-01-06,31,,1981
5837,f,2.99,,634,,34,"2018-04-12 00:17:54.733635","2018-04-12 00:17:54.733635",2018-01-06,,,2813
5838,t,,2.99,626,,34,"2018-04-12 00:17:54.759867","2018-05-05 18:40:55.030639",2018-01-06,31,,1981
